Anelloviridae.pbmc,HSV1.nasal,CMV.pbmc,EBV.nasal,EBV.pbmc
-2.7106890365366887,0,-2.442955251376722,0,0
4.24397798023891,0,2.2833443056694254,0,0
-2.37966377151903,0,0,-2.125264901694002,0
2.087130504633263,0,2.4269482333939325,0,0
2.1096339240993087,0,2.5748030715721195,0,0
2.6626946207291207,0,3.8527119878886698,0,0
2.049229039182986,0,0,0,0
-2.37966377151903,-3.6014879505374355,-15.698970004336019,0,-3.017741695295851
2.830180544734317,0,0,0,0
-2.37966377151903,-3.279680885440733,-3.0897136651342683,-3.203753289690313,-2.363026731620061
2.2576609113833053,0,3.8527119878886698,0,0
2.317342899158925,0,3.0378857784089233,0,0
2.317342899158925,0,0,0,0
2.146613703401624,0,2.565466384684137,0,0
-2.3220094054892106,0,-2.724452085433782,0,0
-2.104006915286697,0,0,0,0
2.982253121012947,0,2.266047860800508,0,0
-2.2372831667958444,0,2.4034748749910566,0,0
2.0601892877251244,2.568738916172419,3.837348495866315,0,2.4639696449359114
-2.5606416996846795,0,-2.1586296369624303,0,0
2.224232275780787,0,2.5891364880717194,0,0
4.24397798023891,0,2.4580117250494875,0,0
2.1066146275556834,0,3.3130809242897565,0,0
2.830180544734317,0,2.6654297032855343,0,0
-2.10735018449973,-2.9412952934433707,-2.190306159092851,0,0
2.424586995115704,0,0,0,0
2.7940035264413825,0,0,0,0
-2.283410650711789,-2.8456556483618365,-2.867064183059421,-2.5097104156715995,0
-2.0774780809570856,-3.3502461646116535,-4.300305068348358,-2.4094460795902086,-3.017741695295851
2.1674796256762847,0,0,0,0
-2.3220094054892106,-2.5341348963410475,-3.4251804915960973,0,0
2.527758866954212,0,0,0,0
-2.3220094054892106,0,-15.698970004336019,-2.125264901694002,0
3.746511243797835,0,4.389696464634284,0,0
2.830180544734317,2.3314663409666694,2.684141629557362,0,0
2.2656109199103756,0,3.5509168672109213,0,0
-2.13147474746275,-2.9832789208291626,-2.3432799675067306,0,0
-2.104006915286697,-2.702242088507659,-2.6879201020724146,0,0
-2.37966377151903,0,-3.803206132850597,0,0
2.0312711415662035,0,2.4987491780137656,0,0
2.37966377151903,-2.8456556483618365,-3.5600148300961245,0,0
2.0774780809570856,3.2920969579064034,2.4987491780137656,2.0408288371707046,0
-2.327189951247813,-3.3502461646116535,-4.300305068348358,-3.203753289690313,0
-2.0774780809570856,0,-2.216707923885841,0,-3.017741695295851
-2.3220094054892106,-2.3131869213514813,-2.442955251376722,0,-3.3651238960391034
2.37966377151903,0,0,0,0
2.2656109199103756,0,0,0,0
2.424586995115704,2.786615308035823,3.3130809242897565,0,0
2.793236249775148,0,0,0,0
2.3743907021929207,0,0,0,0
4.24397798023891,0,4.926242989231929,0,0
2.1136219636751012,0,2.7405508129497513,0,0
2.8527556201611,0,3.8527119878886698,0,0
2.6626946207291207,0,2.2833443056694254,2.5097104156715995,0
2.178316975225207,0,3.0378857784089233,0,0
