"","name","value","residuals"
"1","Control",0,-0.414171297784279
"2","Control",0,0.434672341459059
"3","Control",0,-0.269288632438868
"4","Control",0,-0.865976032001169
"5","Control",0,-0.433424348123529
"6","Control",0,-0.189730102102972
"7","Control",0,-0.233450784272208
"8","Control",0,-0.363814746552171
"9","Control",0,0.475738000823314
"10","Control",0,-0.0116478218974373
"11","Control",0,-0.265160410623777
"12","Control",0,0.064997688934985
"13","Control",0,-0.236605146537444
"14","Control",0,-0.2055705219523
"15","Control",0,0.204448777516704
"16","Control",0,-0.291608018229797
"17","Control",0,0.157642692110433
"18","Control",0,0.276167379084835
"19","Control",0,0.761183975951549
"20","Control",0,0.169825091312432
"21","Control",0,-0.256570491253396
"22","Control",0,-0.249491809251603
"23","Control",0,-0.37750062815749
"24","Control",0,-0.111765507965225
"25","Control",0,0.204601550619179
"26","Control",0,0.155184125178981
"27","Control",0,0.223026440872395
"28","Control",0,-0.11062245763625
"29","Control",0,-0.119248133651471
"30","Control",0,-0.387778939856252
"31","Control",0,-0.00321191382092531
"32","Control",0,-0.107176114549304
"33","Control",0,-0.316081784775489
"34","Control",0,-0.0350279055965753
"35","Control",0,-0.271071190925512
"36","Control",0,0.0853487666556594
"37","Control",0,0.738040764539207
"38","Control",0,-0.401163976022029
"39","Control",0,-0.003873908951945
"40","Control",0,0.120165656773969
"41","Control",0,-0.0389558757950386
"42","Control",0,-0.0455997988630943
"43","Control",0,0.495261528337498
"44","Control",0,-0.0360111090431234
"45","Control",0,-0.3439064310335
"46","Control",0,0.0805379689523716
"47","Control",0,-0.236320811572703
"48","Control",0,-0.416312427373427
"49","Control",0,-0.201091735796182
"50","Control",0,0.511877919429817
"51","Control",0,0.0812638854602067
"52","Control",0,0.439104876907228
"53","Control",0,-0.352994696931316
"54","Control",0,0.101820175452019
"55","Control",0,0.180708629943816
"56","Control",0,0.327828798424886
"57","Control",0,-0.0962765788543845
"58","Control",0,-0.198757422993685
"59","Control",0,-1.88088737671222
"60","Control",0,-0.360581601554533
"61","Control",0,-1.15462688032031
"62","Control",0,-0.580157001747968
"63","Control",0,-0.186675979826456
"64","Control",0,-0.0917030137106278
"65","Control",0,-0.388565472482186
"66","Control",0,-0.190588993984281
"67","Control",0,0.0298359980942444
